round; currentMeasure; elapsed
32; 3.54;1195
32; 3.59;2383
32; 3.58;3571
32; 3.58;4759
32; 3.58;5948
32; 3.56;7137
32; 3.57;8325
32; 3.57;9513
32; 3.56;10703
32; 3.57;11891
32; 3.57;13080
32; 3.57;14268
32; 3.57;15457
32; 3.57;16646
32; 3.58;17835
32; 3.58;19023
32; 3.56;20211
32; 3.57;21399
32; 3.57;22589
32; 3.57;23819
32; 3.57;25008
32; 3.56;26196
32; 3.56;27385
32; 3.56;28573
32; 3.56;29762
32; 3.56;30950
32; 3.57;32138
32; 3.56;33327
32; 3.56;34557
32; 3.55;35747
32; 3.55;36935
32; 3.54;38123
32; 3.54;39312
32; 3.53;40501
32; 3.55;41690
32; 3.55;42879
32; 3.53;44067
32; 3.54;45255
32; 3.54;46444
32; 3.54;47640
32; 3.54;48828
32; 3.54;50017
32; 3.53;51206
32; 3.51;52395
