round; currentMeasure; elapsed
19; -6.16;1195
19; -7.87;2382
19; -8.19;3567
19; -8.25;4755
19; -8.27;5941
19; -8.25;7129
19; -8.17;8358
19; -8.25;9543
19; -8.27;10731
19; -8.30;11919
19; -8.28;13106
19; -8.32;14292
19; -8.29;15479
19; -8.30;16664
19; -8.30;17851
19; -8.31;19038
19; -8.31;20225
19; -8.30;21411
19; -8.30;22597
19; -8.28;23786
19; -8.27;24972
19; -8.27;26159
19; -8.31;27345
19; -8.30;28530
19; -8.28;29717
19; -8.31;30903
19; -8.30;32090
19; -8.28;33277
19; -8.30;34464
19; -8.26;35650
19; -8.27;36844
19; -8.30;38031
19; -8.27;39217
19; -8.27;40405
19; -8.28;41591
19; -8.26;42777
19; -8.30;43964
19; -8.18;45193
19; -8.26;46381
19; -8.29;47567
19; -8.23;48756
19; -8.30;49942
20; -5.92;1195
20; -7.74;2381
20; -8.17;3568
20; -8.26;4754
20; -8.31;5941
20; -8.29;7127
20; -8.30;8316
20; -8.29;9502
20; -8.28;10689
20; -8.29;11875
20; -8.31;13062
20; -8.32;14247
20; -8.32;15434
20; -8.32;16621
20; -8.28;17808
20; -8.33;18994
20; -8.33;20182
20; -8.33;21369
20; -8.32;22555
20; -8.23;23785
20; -8.26;24972
20; -8.25;26157
20; -8.30;27343
20; -8.34;28531
20; -8.31;29717
20; -8.30;30904
20; -8.30;32091
20; -8.32;33284
20; -8.30;34471
20; -8.28;35657
20; -8.31;36843
20; -8.31;38030
20; -8.30;39216
20; -8.30;40403
20; -8.28;41589
20; -8.30;42777
20; -8.26;43964
20; -8.27;45152
