round; currentMeasure; elapsed
17; -6.51;1195
17; -7.96;2383
17; -8.20;3570
17; -8.22;4757
17; -8.28;5942
17; -8.26;7128
17; -8.28;8315
17; -8.27;9501
17; -8.28;10688
17; -8.26;11873
17; -8.29;13061
17; -8.26;14247
17; -8.26;15436
17; -8.29;16623
17; -8.27;17809
17; -8.27;18995
17; -8.25;20181
17; -8.26;21368
17; -8.26;22554
17; -8.28;23740
17; -8.27;24926
17; -8.26;26112
17; -8.24;27301
17; -8.30;28488
17; -8.26;29674
17; -8.29;30860
17; -8.27;32046
17; -8.29;33233
17; -8.25;34419
17; -8.29;35606
17; -8.29;36793
17; -8.25;37978
17; -8.23;39173
17; -8.17;40403
17; -8.26;41590
17; -8.29;42776
17; -8.27;43964
17; -8.27;45149
17; -8.27;46336
18; -5.85;1195
18; -7.69;2382
18; -8.14;3568
18; -8.22;4755
18; -8.25;5941
18; -8.22;7127
18; -8.20;8313
18; -8.22;9502
18; -8.24;10689
18; -8.26;11875
18; -8.24;13062
18; -8.25;14247
18; -8.25;15434
18; -8.16;16663
18; -8.23;17850
18; -8.29;19037
18; -8.26;20223
18; -8.26;21412
18; -8.24;22598
18; -8.23;23785
18; -8.28;24971
18; -8.28;26156
18; -8.29;27343
18; -8.27;28529
18; -8.24;29716
18; -8.24;30904
18; -8.23;32089
18; -8.20;33284
18; -8.22;34470
18; -8.24;35657
18; -8.25;36844
18; -8.24;38031
18; -8.25;39218
18; -8.23;40404
18; -8.23;41590
18; -8.22;42778
18; -8.22;43964
18; -8.23;45152
18; -8.26;46340
