round:;currentMeasure;elapsed
1;-3.31;1242
1;-6.69;2566
1;-7.32;3751
1;-7.46;4936
1;-7.45;6121
1;-7.48;7307
1;-7.42;8540
1;-7.46;9724
1;-7.46;10910
1;-7.39;12159
1;-7.47;13343
1;-7.45;14530
1;-7.48;15715
1;-7.51;16900
1;-7.49;18085
1;-7.46;19270
1;-7.47;20455
1;-7.47;21641
1;-7.47;22826
1;-7.49;24010
1;-7.50;25196
1;-7.49;26381
2;-5.37;1242
2;-7.13;2427
2;-7.52;3612
2;-7.59;4798
2;-7.60;5982
2;-7.59;7167
2;-7.61;8353
2;-7.60;9538
2;-7.60;10722
2;-7.61;11910
2;-7.60;13095
2;-7.62;14280
2;-7.57;15466
2;-7.58;16650
2;-7.62;17835
2;-7.63;19021
2;-7.61;20206
2;-7.60;21390
2;-7.64;22576
2;-7.59;23761
2;-7.56;24954
2;-7.44;26141
3;-5.83;1242
3;-7.30;2428
3;-7.54;3614
3;-7.59;4800
3;-7.56;5986
3;-7.58;7173
3;-7.55;8359
3;-7.58;9548
3;-7.59;10734
3;-7.62;11920
3;-7.55;13106
3;-7.54;14293
3;-7.57;15479
3;-7.53;16708
3;-7.59;17894
3;-7.60;19080
3;-7.59;20267
3;-7.51;21497
3;-7.57;22685
3;-7.58;23871
3;-7.55;25057
3;-7.59;26244
3;-7.58;27430
4;-5.47;1242
4;-7.20;2427
4;-7.60;3616
4;-7.65;4802
4;-7.66;5989
4;-7.65;7175
4;-7.64;8362
4;-7.67;9547
4;-7.69;10734
4;-7.69;11920
4;-7.76;13107
4;-7.69;14293
4;-7.68;15479
4;-7.68;16673
4;-7.68;17860
4;-7.67;19046
4;-7.69;20232
4;-7.65;21419
4;-7.68;22604
4;-7.71;23791
4;-7.71;24977
4;-7.70;26164
4;-7.64;27350
