round;currentMeasure;elapsed
1;3.54;1242
1;3.58;2568
1;3.68;3752
1;3.68;4938
1;3.68;6123
1;3.72;7357
1;3.75;8543
1;3.70;9777
1;3.72;10962
1;3.70;12147
1;3.72;13332
1;3.74;14520
1;3.60;15705
1;3.55;16890
1;3.88;18075
1;4.30;19260
1;3.98;20446
1;3.87;21631
1;4.08;22815
1;4.13;24001
1;4.33;25186
1;4.50;26371
1;4.52;27557
1;4.32;28742
1;4.13;29927
1;3.66;31113
1;3.73;32298
1;3.85;33482
2;3.38;1242
2;3.40;2427
2;3.40;3612
2;3.37;4797
2;3.36;5983
2;3.36;7170
2;3.36;8419
2;3.35;9604
2;3.37;10838
2;3.38;12023
2;3.37;13208
2;3.38;14394
2;3.40;15579
2;3.41;16813
2;3.41;17998
2;3.47;19183
2;3.49;20415
2;3.50;21602
2;3.48;22788
2;3.25;23974
2;3.18;25160
2;3.18;26347
2;3.23;27533
3;4.04;1242
3;4.10;2428
3;4.10;3615
3;4.10;4803
3;4.11;6039
3;4.11;7226
3;4.11;8411
3;4.11;9598
3;4.11;10784
3;4.10;11971
3;4.10;13157
3;4.10;14344
3;4.10;15571
3;4.10;16758
3;4.09;17946
3;4.08;19133
3;4.09;20320
3;4.08;21505
3;4.08;22691
3;4.07;23878
3;4.06;25065
3;4.07;26251
3;3.98;27436
3;3.78;28623
4;4.89;1242
4;4.99;2431
4;5.04;3616
4;5.07;4867
4;5.09;6052
4;5.10;7239
4;5.12;8425
4;5.13;9612
4;5.13;10798
4;5.06;11984
4;5.03;13170
4;5.07;14357
4;5.08;15545
4;5.10;16733
4;5.09;17919
4;5.10;19105
4;5.10;20291
4;4.99;21478
4;4.83;22664
4;4.69;23851
4;4.76;25036
4;4.74;26287
4;4.77;27475
4;3.49;28661
