Round;currentMeasure;elapsed
19;3.58;1195
19;3.64;2381
19;3.64;3567
19;3.65;4796
19;3.65;5982
19;3.65;7169
19;3.65;8355
19;3.65;9583
19;3.65;10770
19;3.65;12048
19;3.65;13237
19;3.65;14424
19;3.65;15612
19;3.66;16800
19;3.66;17988
19;3.66;19177
19;3.67;20365
19;3.66;21554
19;3.65;22742
19;3.65;23929
19;3.66;25119
19;3.66;26307
19;3.66;27495
19;3.65;28684
19;3.65;29872
19;3.65;31060
19;3.66;32247
19;3.66;33436
19;3.68;34624
19;3.68;35812
19;3.67;37002
19;3.67;38191
19;3.66;39379
19;3.67;40566
19;3.67;41754
19;3.67;42943
19;3.68;44131
20;3.61;1195
20;3.68;2384
20;3.67;3572
20;3.67;4761
20;3.67;5949
20;3.67;7137
20;3.67;8324
20;3.67;9513
20;3.67;10701
20;3.67;11889
20;3.67;13078
20;3.67;14266
20;3.67;15461
20;3.67;16650
20;3.67;17837
20;3.67;19025
20;3.67;20213
20;3.67;21402
20;3.67;22590
20;3.67;23778
20;3.67;24967
20;3.66;26154
20;3.67;27344
20;3.67;28532
20;3.66;29720
20;3.67;30909
20;3.67;32096
20;3.67;33284
20;3.66;34514
20;3.67;35702
20;3.66;36890
20;3.66;38078
20;3.66;39267
20;3.67;40499
20;3.67;41686
20;3.66;42874
20;3.66;44062
20;3.66;45251
20;3.66;46439
20;3.66;47627
20;3.66;48815
20;3.65;50003
20;3.66;51191
20;3.66;52381
20;3.65;53570
20;3.65;54759
20;3.68;55947
