round;currentMeasure;elapsed
"15;";-6.10;1194
"15;";-7.70;2382
"15;";-8.01;3568
"15;";-8.04;4755
"15;";-8.05;5940
"15;";-8.06;7127
"15;";-7.99;8357
"15;";-8.05;9545
"15;";-8.08;10733
"15;";-8.05;11919
"15;";-8.06;13105
"15;";-8.09;14292
"15;";-8.08;15479
"15;";-8.05;16666
"15;";-8.05;17853
"15;";-8.06;19039
"15;";-8.10;20225
"15;";-8.05;21412
"15;";-8.06;22600
"15;";-8.07;23787
"15;";-8.07;24972
"15;";-8.01;26202
"15;";-8.07;27389
"15;";-8.09;28575
"15;";-8.06;29762
"15;";-8.09;30948
"15;";-8.09;32134
"15;";-8.07;33320
"15;";-8.08;34509
"15;";-8.06;35695
"15;";-8.06;36882
"15;";-8.05;38067
"15;";-8.07;39254
"15;";-8.05;40440
"15;";-8.04;41627
"15;";-8.06;42813
"15;";-8.08;43998
"16;";-5.86;1195
"16;";-7.60;2380
"16;";-7.97;3567
"16;";-8.06;4753
"16;";-8.12;5940
"16;";-8.11;7126
"16;";-8.11;8312
"16;";-8.10;9498
"16;";-8.11;10684
"16;";-8.11;11870
"16;";-8.12;13056
"16;";-8.08;14242
"16;";-8.12;15428
"16;";-8.13;16615
"16;";-8.13;17801
"16;";-8.14;18988
"16;";-8.13;20173
"16;";-8.12;21360
"16;";-8.15;22546
"16;";-8.15;23735
"16;";-8.16;24921
"16;";-8.18;26107
"16;";-8.12;27293
"16;";-8.14;28480
"16;";-8.08;29710
"16;";-8.08;30896
"16;";-8.10;32083
"16;";-8.13;33268
"16;";-8.10;34455
"16;";-8.13;35643
"16;";-8.10;36830
"16;";-8.10;38016
"16;";-8.12;39202
"16;";-8.12;40388
"16;";-8.14;41575
"16;";-8.12;42761
"16;";-8.12;43948
"16;";-8.10;45133
"16;";-8.08;46320
"16;";-8.09;47514
"16;";-8.11;48701
"16;";-8.13;49887
"16;";-8.07;51074
"16;";-8.12;52259
"16;";-8.07;53489
"16;";-8.12;54675
"16;";-8.12;55862
