round; currentMeasure; elapsed
8; -5.64;1209
8; -7.29;2396
8; -7.57;3583
8; -7.62;4768
8; -7.66;5955
8; -7.66;7141
8; -7.64;8327
8; -7.63;9514
8; -7.67;10702
8; -7.67;11888
8; -7.69;13075
8; -7.70;14261
8; -7.67;15448
8; -7.69;16633
8; -7.66;17820
8; -7.69;19006
8; -7.66;20193
8; -7.69;21379
8; -7.58;22608
8; -7.65;23797
8; -7.67;24983
8; -7.69;26170
8; -7.69;27356
8; -7.69;28543
8; -7.66;29728
8; -7.71;30915
9; -5.82;1195
9; -7.30;2382
9; -7.55;3570
9; -7.61;4756
9; -7.62;5942
9; -7.62;7129
9; -7.66;8315
9; -7.65;9502
9; -7.64;10687
9; -7.62;11873
9; -7.63;13060
9; -7.63;14246
9; -7.65;15433
9; -7.51;16713
9; -7.63;17900
9; -7.62;19085
9; -7.66;20272
9; -7.62;21458
9; -7.64;22645
9; -7.65;23831
9; -7.65;25017
9; -7.68;26203
9; -7.61;27390
9; -7.61;28578
9; -7.65;29765
9; -7.64;30950
9; -7.63;32137
9; -7.65;33323
10; -5.64;1195
10; -7.33;2382
10; -7.66;3567
10; -7.75;4754
10; -7.74;5942
10; -7.75;7129
10; -7.74;8315
10; -7.74;9501
10; -7.74;10687
10; -7.74;11874
10; -7.74;13060
10; -7.72;14247
10; -7.74;15432
10; -7.75;16619
10; -7.74;17807
10; -7.73;18994
10; -7.72;20180
10; -7.74;21367
10; -7.75;22552
10; -7.75;23739
10; -7.71;24925
10; -7.75;26112
10; -7.76;27298
10; -7.77;28484
10; -7.76;29678
10; -7.73;30865
11; -5.96;1195
11; -7.54;2381
11; -7.81;3567
11; -7.82;4753
11; -7.87;5940
11; -7.87;7126
11; -7.84;8312
11; -7.87;9499
11; -7.87;10687
11; -7.88;11873
11; -7.87;13060
11; -7.85;14246
11; -7.85;15433
11; -7.86;16618
11; -7.77;17848
11; -7.83;19034
11; -7.88;20221
11; -7.87;21407
11; -7.85;22596
11; -7.79;23825
11; -7.85;25012
11; -7.87;26198
11; -7.86;27385
11; -7.85;28571
11; -7.88;29757
11; -7.87;30943
12; -5.86;1195
12; -7.50;2380
12; -7.84;3567
12; -7.91;4754
12; -7.92;5940
12; -7.89;7127
12; -7.89;8312
12; -7.88;9498
12; -7.89;10685
12; -7.91;11871
12; -7.90;13058
12; -7.90;14252
12; -7.92;15438
12; -7.90;16624
12; -7.91;17811
12; -7.90;18997
12; -7.89;20184
12; -7.91;21369
12; -7.90;22556
12; -7.93;23742
12; -7.95;24930
12; -7.92;26119
12; -7.90;27305
12; -7.91;28490
12; -7.91;29677
12; -7.94;30864
