round:;currentMeasure;elapsed
1;0.70;1195
1;0.73;2520
1;0.73;3705
1;0.73;4890
1;0.74;6076
1;0.74;7261
1;0.75;8446
1;0.74;9632
1;0.76;10817
1;0.74;12003
1;0.74;13187
1;0.73;14375
1;0.73;15560
1;0.73;16745
1;0.74;17931
1;0.74;19116
1;0.74;20302
1;0.74;21487
1;0.74;22672
1;0.73;23858
1;0.74;25042
6;1.03;1242
6;1.03;2478
6;1.03;3665
6;1.02;4852
6;1.02;6041
6;1.02;7227
6;1.02;8413
6;1.01;9600
6;1.00;10787
6;1.01;11974
6;1.01;13160
6;1.01;14390
6;1.01;15577
6;1.01;16764
6;1.01;17958
6;1.01;19145
6;1.01;20331
6;1.01;21518
6;1.00;22706
6;1.00;23893
6;1.00;25080
6;1.00;26267
6;1.01;27453
7;1.03;1242
7;1.07;2478
7;1.07;3664
7;1.07;4851
7;1.07;6038
7;1.06;7225
7;1.06;8412
7;1.06;9599
7;1.06;10785
7;1.05;11972
7;1.05;13159
7;1.05;14348
7;1.05;15535
7;1.05;16721
7;1.05;17908
7;1.05;19095
7;1.05;20282
7;1.05;21469
7;1.05;22656
7;1.05;23842
7;1.06;25072
7;1.06;26259
7;1.06;27448
7;1.05;28635
7;1.06;29821
7;1.07;31008
