Round;currentMeasure;elapsed
14;3.76;1195
14;3.80;2382
14;3.81;3567
14;3.81;4754
14;3.81;5941
14;3.81;7127
14;3.81;8316
14;3.82;9502
14;3.82;10688
14;3.82;11875
14;3.83;13061
14;3.82;14248
14;3.82;15435
14;3.82;16621
14;3.82;17807
14;3.82;18994
14;3.81;20182
14;3.81;21369
14;3.81;22555
14;3.81;23742
14;3.81;24928
14;3.80;26115
14;3.81;27301
14;3.81;28488
15;3.80;1195
15;3.85;2382
15;3.84;3568
15;3.84;4798
15;3.84;5985
15;3.84;7171
15;3.84;8358
15;3.85;9544
15;3.84;10730
15;3.84;11917
15;3.84;13103
15;3.85;14290
15;3.84;15477
15;3.84;16713
15;3.83;17899
15;3.83;19085
15;3.83;20273
15;3.83;21459
15;3.83;22646
15;3.83;23833
15;3.83;25019
15;3.82;26206
15;3.82;27392
15;3.82;28579
15;3.84;29767
16;3.79;1195
16;3.84;2382
16;3.83;3568
16;3.84;4753
16;3.84;5940
16;3.84;7126
16;3.84;8314
16;3.84;9500
16;3.85;10686
16;3.85;11875
16;3.85;13061
16;3.85;14248
16;3.85;15434
16;3.84;16621
16;3.84;17807
16;3.84;18994
16;3.84;20180
16;3.83;21367
16;3.83;22553
16;3.84;23739
16;3.83;24928
16;3.83;26115
16;3.83;27301
16;3.82;28488
16;3.90;29674
17;3.79;1195
17;3.84;2382
17;3.84;3568
17;3.84;4754
17;3.85;5941
17;3.84;7135
17;3.85;8322
17;3.84;9509
17;3.85;10695
17;3.84;11882
17;3.84;13110
17;3.84;14297
17;3.84;15484
17;3.84;16670
17;3.83;17856
17;3.83;19043
17;3.84;20232
17;3.83;21418
17;3.83;22605
17;3.83;23792
17;3.83;24977
17;3.83;26164
17;3.83;27351
18;3.83;1195
18;3.88;2380
18;3.88;3567
18;3.88;4797
18;3.89;5984
18;3.88;7171
18;3.89;8356
18;3.89;9543
18;3.89;10729
18;3.89;11916
18;3.88;13103
18;3.88;14289
18;3.88;15475
18;3.88;16662
18;3.88;17850
18;3.89;19037
18;3.88;20223
18;3.87;21410
18;3.88;22596
18;3.88;23783
18;3.88;24970
18;3.88;26157
18;3.87;27343
18;3.87;28529
18;3.85;29723
18;3.84;30910
19;3.78;1195
19;3.82;2382
19;3.82;3569
19;3.81;4754
19;3.82;5941
19;3.81;7127
19;3.82;8315
19;3.82;9501
19;3.81;10687
19;3.81;11875
19;3.81;13062
19;3.81;14249
19;3.81;15436
19;3.81;16623
19;3.81;17809
19;3.80;18995
19;3.81;20183
19;3.80;21369
19;3.80;22556
19;3.80;23784
19;3.80;24973
19;3.80;26160
19;3.80;27347
19;3.79;28533
20;3.77;1195
20;3.82;2382
20;3.82;3569
20;3.82;4756
20;3.82;5942
20;3.83;7128
20;3.82;8317
20;3.83;9504
20;3.83;10691
20;3.83;11877
20;3.83;13064
20;3.83;14250
20;3.83;15437
20;3.82;16624
20;3.82;17811
20;3.82;18998
20;3.82;20226
20;3.81;21420
20;3.82;22607
20;3.82;23794
20;3.82;24981
20;3.82;26168
20;3.82;27353
20;3.81;28540
20;3.80;29727
20;3.80;30914
21;3.81;1195
21;3.85;2383
21;3.85;3570
21;3.85;4756
21;3.84;5943
21;3.85;7129
21;3.85;8316
21;3.85;9503
21;3.84;10690
21;3.84;11877
21;3.84;13063
21;3.84;14250
21;3.83;15438
21;3.83;16625
21;3.83;17812
21;3.83;18998
21;3.83;20184
21;3.83;21371
21;3.82;22558
21;3.82;23745
21;3.82;24931
21;3.82;26118
21;3.82;27306
21;3.82;28493
21;3.81;29680
22;3.74;1195
22;3.78;2423
22;3.79;3610
22;3.78;4796
22;3.79;5983
22;3.79;7170
22;3.79;8356
22;3.79;9542
22;3.79;10737
22;3.79;11924
22;3.79;13111
22;3.79;14298
22;3.78;15485
22;3.79;16670
22;3.78;17858
22;3.79;19044
22;3.79;20231
22;3.78;21418
22;3.78;22606
22;3.79;23793
22;3.78;24980
22;3.78;26167
22;3.78;27353
22;3.78;28539
22;3.77;29726
23;3.78;1195
23;3.83;2381
23;3.82;3567
23;3.82;4796
23;3.83;5985
23;3.83;7171
23;3.83;8357
23;3.83;9544
23;3.83;10731
23;3.83;11918
23;3.83;13105
23;3.83;14292
23;3.82;15477
23;3.82;16664
23;3.82;17852
23;3.83;19039
23;3.82;20226
23;3.82;21412
23;3.82;22598
23;3.81;23786
23;3.81;24972
23;3.81;26159
23;3.81;27345
23;3.81;28532
23;3.81;29719
23;3.79;30914
