round; currentMeasure; elapsed
8; 1.07;1195
8; 1.11;2382
8; 1.12;3569
8; 1.11;4755
8; 1.11;5949
8; 1.10;7136
8; 1.10;8323
8; 1.09;9510
8; 1.09;10697
8; 1.08;11884
8; 1.09;13070
8; 1.09;14257
8; 1.09;15444
8; 1.09;16631
8; 1.09;17818
8; 1.10;19006
8; 1.09;20193
8; 1.10;21380
8; 1.10;22567
8; 1.09;23754
8; 1.10;24941
8; 1.10;26170
8; 1.10;27357
8; 1.11;28545
9; 0.98;1195
9; 1.02;2384
9; 1.04;3571
9; 1.02;4758
9; 1.02;5944
9; 1.01;7131
9; 1.01;8318
9; 1.01;9505
9; 1.01;10692
9; 1.01;11878
9; 1.01;13065
9; 1.01;14252
9; 1.01;15441
9; 1.01;16628
9; 1.01;17815
9; 1.01;19001
9; 1.01;20188
9; 1.01;21375
9; 1.01;22562
9; 1.01;23750
9; 1.01;24935
9; 1.01;26122
9; 1.00;27317
10; 1.07;1195
10; 1.10;2382
10; 1.10;3569
10; 1.09;4756
10; 1.10;5942
10; 1.10;7129
10; 1.09;8316
10; 1.09;9503
10; 1.09;10690
10; 1.09;11879
10; 1.09;13065
10; 1.09;14252
10; 1.08;15439
10; 1.09;16626
10; 1.09;17813
10; 1.09;18999
10; 1.10;20186
10; 1.09;21373
10; 1.09;22560
10; 1.09;23749
10; 1.09;24936
10; 1.09;26122
10; 1.10;27309
10; 1.10;28496
11; 1.01;1195
11; 1.04;2382
11; 1.05;3569
11; 1.04;4758
11; 1.03;5945
11; 1.04;7131
11; 1.03;8318
11; 1.03;9505
11; 1.03;10735
11; 1.04;11922
11; 1.03;13108
11; 1.02;14295
11; 1.02;15482
11; 1.02;16677
11; 1.02;17864
11; 1.02;19051
11; 1.01;20238
11; 1.02;21424
11; 1.01;22611
11; 1.01;23798
11; 1.02;24985
13; 1.04;1195
13; 1.07;2382
13; 1.07;3569
13; 1.07;4755
13; 1.07;5942
13; 1.06;7129
13; 1.06;8316
13; 1.06;9546
13; 1.06;10733
13; 1.05;11919
13; 1.05;13106
13; 1.05;14295
13; 1.05;15482
13; 1.06;16669
13; 1.06;17855
13; 1.06;19042
13; 1.07;20229
13; 1.07;21416
13; 1.06;22603
13; 1.07;23791
13; 1.07;24977
13; 1.08;26165
13; 1.08;27352
13; 1.08;28539
14; 1.37;1195
14; 1.41;2382
14; 1.40;3569
14; 1.39;4756
14; 1.38;5943
14; 1.38;7129
14; 1.38;8316
14; 1.38;9511
14; 1.38;10698
14; 1.38;11885
14; 1.38;13072
14; 1.38;14259
14; 1.37;15445
14; 1.38;16632
14; 1.38;17819
14; 1.38;19006
14; 1.38;20193
14; 1.39;21382
14; 1.39;22568
14; 1.40;23755
14; 1.40;24942
14; 1.39;26129
14; 1.40;27359
14; 1.40;28544
15; 1.51;1195
15; 1.34;2382
15; 1.34;3569
15; 1.33;4757
15; 1.32;5944
15; 1.28;7131
15; 1.33;8318
15; 1.35;9505
15; 1.35;10692
15; 1.37;11878
15; 1.36;13065
15; 1.35;14252
15; 1.35;15439
15; 1.35;16628
15; 1.34;17858
15; 1.34;19044
15; 1.35;20231
15; 1.34;21418
15; 1.33;22605
15; 1.34;23792
15; 1.35;24978
15; 1.35;26165
15; 1.35;27352
15; 1.35;28539
15; 1.30;29734
16; 1.22;1195
16; 1.25;2382
16; 1.24;3568
16; 1.24;4755
16; 1.24;5942
16; 1.24;7129
16; 1.25;8316
16; 1.25;9503
16; 1.24;10689
16; 1.24;11878
16; 1.25;13065
16; 1.25;14252
16; 1.25;15439
16; 1.24;16625
16; 1.24;17812
16; 1.25;18999
16; 1.25;20186
16; 1.25;21373
16; 1.25;22560
16; 1.24;23746
16; 1.24;24935
16; 1.25;26122
16; 1.25;27309
16; 1.25;28496
16; 1.23;29682
17; 1.09;1195
17; 1.13;2382
17; 1.13;3569
17; 1.12;4755
17; 1.12;5942
17; 1.12;7132
17; 1.11;8318
17; 1.11;9505
17; 1.11;10692
17; 1.11;11878
17; 1.11;13108
17; 1.11;14295
17; 1.12;15482
17; 1.11;16669
17; 1.11;17855
17; 1.10;19042
17; 1.11;20237
17; 1.11;21424
17; 1.10;22611
17; 1.10;23798
17; 1.09;24985
17; 1.10;26171
17; 1.11;27401
17; 1.11;28588
18; 1.32;1195
18; 1.33;2384
18; 1.34;3571
18; 1.34;4758
18; 1.32;5945
18; 1.32;7131
18; 1.31;8318
18; 1.31;9505
18; 1.29;10692
18; 1.30;11879
18; 1.32;13065
18; 1.34;14252
18; 1.31;15441
18; 1.31;16628
18; 1.27;17815
18; 1.20;19002
18; 1.23;20188
18; 1.25;21376
18; 1.28;22563
18; 1.27;23750
18; 1.29;24937
18; 1.30;26123
18; 1.31;27312
18; 1.32;28499
18; 1.29;29686
