Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode 
Time: 9.85s | Raw0: 1.38 m | Raw1: 1.26 m | Filtered0: 1.380000 m | Filtered1: 1.260000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 9.96s | Raw0: 1.38 m | Raw1: 1.28 m | Filtered0: 1.380000 m | Filtered1: 1.280000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 10.95s | Raw0: 1.32 m | Raw1: 1.28 m | Filtered0: 1.320000 m | Filtered1: 1.280000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 11.06s | Raw0: 1.32 m | Raw1: 1.27 m | Filtered0: 1.320000 m | Filtered1: 1.270000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 12.35s | Raw0: 1.29 m | Raw1: 1.27 m | Filtered0: 1.290000 m | Filtered1: 1.270000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 12.47s | Raw0: 1.29 m | Raw1: 1.27 m | Filtered0: 1.290000 m | Filtered1: 1.270000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 13.55s | Raw0: 1.24 m | Raw1: 1.27 m | Filtered0: 1.240000 m | Filtered1: 1.270000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 13.67s | Raw0: 1.24 m | Raw1: 1.26 m | Filtered0: 1.240000 m | Filtered1: 1.260000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 14.96s | Raw0: 1.25 m | Raw1: 1.26 m | Filtered0: 1.250000 m | Filtered1: 1.260000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 15.07s | Raw0: 1.25 m | Raw1: 1.25 m | Filtered0: 1.250000 m | Filtered1: 1.250000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 16.06s | Raw0: 1.26 m | Raw1: 1.25 m | Filtered0: 1.260000 m | Filtered1: 1.250000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 16.17s | Raw0: 1.26 m | Raw1: 1.20 m | Filtered0: 1.260000 m | Filtered1: 1.200000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 17.46s | Raw0: 1.30 m | Raw1: 1.20 m | Filtered0: 1.300000 m | Filtered1: 1.200000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 17.57s | Raw0: 1.30 m | Raw1: 1.19 m | Filtered0: 1.300000 m | Filtered1: 1.190000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 18.66s | Raw0: 1.28 m | Raw1: 1.19 m | Filtered0: 1.280000 m | Filtered1: 1.190000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 18.77s | Raw0: 1.28 m | Raw1: 1.14 m | Filtered0: 1.280000 m | Filtered1: 1.140000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 19.96s | Raw0: 1.28 m | Raw1: 1.14 m | Filtered0: 1.280000 m | Filtered1: 1.140000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
Time: 20.08s | Raw0: 1.28 m | Raw1: 1.09 m | Filtered0: 1.280000 m | Filtered1: 1.090000 m | Middle: nan m | Expected: 1.004223 m | Method: none | Mode: WARMUP
