Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 200.29s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.320354 m | Filtered1: 0.286790 m | Middle: 0.315531 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 200.41s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.321346 m | Filtered1: 0.286167 m | Middle: 0.316055 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 201.40s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.322280 m | Filtered1: 0.285583 m | Middle: 0.316528 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 201.52s | Raw0: 0.34 m | Raw1: 0.28 m | Filtered0: 0.323156 m | Filtered1: 0.285542 m | Middle: 0.317110 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 202.82s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.323416 m | Filtered1: 0.285506 m | Middle: 0.317274 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 202.94s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.323651 m | Filtered1: 0.285473 m | Middle: 0.317422 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 203.93s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.323866 m | Filtered1: 0.285442 m | Middle: 0.317556 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 204.05s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.324062 m | Filtered1: 0.285414 m | Middle: 0.317678 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 205.35s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.324243 m | Filtered1: 0.285389 m | Middle: 0.317790 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 205.47s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.324408 m | Filtered1: 0.285365 m | Middle: 0.317892 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 206.46s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.324561 m | Filtered1: 0.285343 m | Middle: 0.317986 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 206.58s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.324703 m | Filtered1: 0.285323 m | Middle: 0.318073 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 207.88s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.324835 m | Filtered1: 0.285304 m | Middle: 0.318154 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 207.99s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.324957 m | Filtered1: 0.285286 m | Middle: 0.318229 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 208.99s | Raw0: 0.33 m | Raw1: 0.28 m | Filtered0: 0.325071 m | Filtered1: 0.285270 m | Middle: 0.318298 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 209.11s | Raw0: 0.33 m | Raw1: 0.27 m | Filtered0: 0.325178 m | Filtered1: 0.284929 m | Middle: 0.318258 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 210.41s | Raw0: 0.33 m | Raw1: 0.27 m | Filtered0: 0.325278 m | Filtered1: 0.284592 m | Middle: 0.318212 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 210.52s | Raw0: 0.33 m | Raw1: 0.27 m | Filtered0: 0.325371 m | Filtered1: 0.284257 m | Middle: 0.318163 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 211.52s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.325823 m | Filtered1: 0.283929 m | Middle: 0.318343 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 211.64s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.326270 m | Filtered1: 0.283606 m | Middle: 0.318517 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 212.94s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.326710 m | Filtered1: 0.283291 m | Middle: 0.318684 m | Expected: 0.313790 m | Method: direct | Mode: TEST
Time: 213.06s | Raw0: 0.34 m | Raw1: 0.27 m | Filtered0: 0.327140 m | Filtered1: 0.282985 m | Middle: 0.318843 m | Expected: 0.313790 m | Method: direct | Mode: TEST
