Timestamp (s),Raw-A-0 (m),Raw-A-1 (m),KF-A-0 (m),KF-A-1 (m),MiddlePoint (m),Expected (m), Method, Mode
Time: 8.64s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 8.81s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 8.99s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 9.17s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 9.35s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 9.53s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 9.71s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 9.89s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 10.06s | Raw0: 0.69 m | Raw1: 0.78 m | Filtered0: 0.690000 m | Filtered1: 0.780000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 10.25s | Raw0: 0.69 m | Raw1: 0.77 m | Filtered0: 0.690000 m | Filtered1: 0.770000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
Time: 11.03s | Raw0: 0.73 m | Raw1: 0.77 m | Filtered0: 0.730000 m | Filtered1: 0.770000 m | Middle: nan m | Expected: 0.508394 m | Method: none | Mode: WARMUP
